"roadSize","beds","bathrooms","builtOn","landArea","price","location"
"16","8","3","2079 B.S.","7 Anna",38000000,"Kathmandu, Swoyambhu"
"20","7","5","2078 B.S","0.3.2.2","31500000","Lalitpur, Dhapakhel"
"13","5","4","2074 B.S.","3.2 anna",300000000,"Kathmandu, Swoyambhu"
"14","4","3","2080 B.S","4 anna",50000000,"Kathmandu, Bhaisipati"
"21","5","3","2074 B.S.","5 Anna",250000000,"Kathmandu,Chhauni"
"16","5","2",,"3.5 Anna",30000000,"Lalitpur,Imadol"
"14","4","3","2076 B.S","3 Anna",200000000,"Kathmandu, Sano bharyang"
"13","5","3","2077 B.S","4 Anna",550000000,"Kathmandu, Swoyambhu"
"20","4","3","2076","5 aana",23000000,"Pokhara -14"
"22","6","3","2063 B.S","3 Anna","70000","Kathmandu, Bafal"
"20","-6","5","2079 B.S","(0.2.3.3) 2 Anna 3 Paisa 3 Dam","23500000","Dakshin Barahi,New Thimi,Bhaktapur, Nepal"
"14","8","8","2068 B.S","5 Anna",50000000,"Kathmandu,Balaju"
"13","5","3","2065 B.S.","5 Anna",200000000,"Kathmandu, Chandragiri"
"15","6","4","2073 B.S.","4 anna 2 paisa 2 daam",150000000,"Kathmandu, Imadol"
"13","6","5","2068 B.S","0.3.3.2",40000000,"Kathmandu, Chhauni"
"13","4","3","2070 B.S","3.2 Anna",850000000,"Kathmandu, Swoyambhu"
"13","5","2","2068 B.S","5 anna 1 paisa 3 daam",500000000,"Kathmandu, Soltido bato"
"18","7","6",,"3 Anna 2 Paisa","42000000","Kathmandu, Thulo Bharayang,"
"14","6","4",,"4 anna 2 daam","37500000","Kathmandu, Lalitpur"
"20","3","3","2080 B.S","3.1.2","23000000","Kathmandu, Ramkot"
"13","6","4",,"3 Anna 1 Paisa 2 daam","25000000","Kathmandu, Sitapaila"
"13","6","4","2074 B.S.","4.75","42000000","Kathmandu, Sano bharyang"
"12","6","4","2077 B.S","3.2 Anna","27500000","Kathmandu, Swoyambhu"
"15","5","4","2079 B.S.","5 anna 2 paisa 2 daam",750000000,"Kathmandu, Bijeshwori"
"13","9","4","2077 B.S","5 anna",300000000,"Kathmandu, Kuleshwor"
"13","6","4","2080 B.S","4.5 Anna","3","Kathmandu, Syuchatar"
"20","4","2","2070","2 aana","25000","Satdobato, Lalitpur"
"20","6","3","2079 B.S.","4 Anna",800000000,"Kathmandu, Tokha"
"20","4","5","2079 B.S.","3.2 Anna",22000000,"Kathmandu, Sitapaila"
"20","4","5","2070 B.S","4 Anna","50000000","Kathmandu, Koteshwor"
"10","7","5","2060 B.S.","11 Anna",110000000,"Kathmandu, Sanepa"
"10","5","4","2080 B.S","4 aana 3 paisa",500000000,"Kathmandu, Chhauni"
"13","7","5","2069 B.S","1 ropani",80000000,"Kathmandu, Manamaiju"
"12","5","5",,"3 Anna",750000000,"Lalitpur,Imadol"
"13","6","4",,"3 anna 1 paisa 3 daam",950000000,"Lalitpur,Imadol"
"13",,"5",,"3 aana 2 paisa",350000000,"Kathmandu, Imadol"
"15","6","3",,"13 ropanies",,"Kathmandu,Tarkeshwor"
"13","11","3",,"5.5 Anna",100000,"Kathmandu, Dallu Awas"
"14","5","3","2079 B.S.","3 Anna 1 Paisa","25000000","Kathmandu, Bafal"
"14","6","4","2080 B.S","4 Anna","32500000","Kathmandu, Sitapaila"
"15","4","4","2075 B..S","4 Anna 1 Paisa 2 Daam","42500000","Kathmandu, Swoyambhu"
"20","7","6","2080 B.S","4 anna 2 paisa",41500000,"Lalitpur,Imadol"
"13","8","8","2077 B.S","8 anna",44000000,"Kathmandu, Ramkot"
"10","13","9","2065 B.S","4 Anna 3 paisa",34500000,"Kathmandu, Sano bharayang"
"13","5","4","2079 B.S.","3 Anna 2 Paisa",30500000,"Lalitpur,Imadol"
"20","7","4","2080 B.S","3 Anna",28000000,"Lalitpur,Imadol"
"20","5","5","2080 B.S","3 Anna 2 Paisa",35500000,"Lalitpur,Imadol"
"23","6","4","2080 B.S","4 Anna",44500000,"Lalipur,Tikathali"
"13","4","4","2080 B.S","3 Anna",25200000,"Lalitpur,Imadol"
"13","6","4","2080 B.S","4 Anna 1 Paisa",42000000,"Imadol,Gauri Sankar"
"16","5","6",,"4 anna 2 paisa",600000000,"KATHMANDU, SANOBHARYANG"
"13","7","6","2079 B.S.","3 aana 3 daam",950000000,"Lalitpur,Imadol"
"13","6","5","2080 B.S","3 Anna 3 daam",210000000,"Lalitpur,Imadol"
"15","4","3","2070 B.S","17 ana",95000000,"Lalitpur,Bhaisipati"
"22","5","2","2074 B.S","3 Anna 2 Paisa",35000000,"Kathmandu, Sitapaila"
"12","4","4","2079 B.S.","4.5 Anna",43000000,"Lalitpur,Bhaisipati"
"16","5","3",,"8 aana 1 paisa",60000000,"Kathmandu,Budhanilkantha"
"12","6","4","2080 B.S","3 Anna 2 Paisa",32500000,"Kathmandu, Swoyambhu"
"20","6","6","2080 B.S","3 Anna 2 Paisa",37500000,"Kathmandu, Swoyambhu"
"13","9","7",,"10 aana",65000000,"Lalitpur,Satdobato"
"13","6","4","2080 B.S","4 Anna",33500000,"Lalitpur,Imadol"
"13","6","6","2080 B.S.","3 aana 2 paisa",29500000,"Lalitpur,Imadol"
"13","6","3","2080 B.S","3 Anna",26000000,"Lalitpur,Imadol"
"13","6","4","2080 B.S","2.75 Anna",23000000,"Lalitpur,Imadol"
"13","7","4","2080 B.S","3.2",31500000,"Lalitpur,Imadol"
"25","6","6","2075 B.S","15 aana",100000,"Bhaktapur,Suryabinayak"
"16","5","4","2070 B.S","2 aana 3 paisa",150000000,"Kathmandu, Sitapaila"
"13","5","5","2079 B.S.","5 aana 2 paisa 2 daam",30000000,"Kathmandu, Kavresthali"
"16","5","4","2073 B.S","4 Anna 1 Dam",40000000,"Kathmandu, Swoyambhu"
"13","5","5","2078 B.S.","4 aana 2 paisa 1 daam",600000000,"Chandragiri,Kathmandu"
"20","3","3","2080","3 Anna","65000","Suryabinayak, Bhaktapur"
"12","4","5","2078 B..S","5 Anna","80000","Kathmandu, Buddhanilkantha"
"20","9","7","2080 B.S","15 aana 2 paisa",200000,"Kathmandu,Koteshwor"
"24","7","4","2066 B.S","1 ropani 1 aana","2000","Kathmandu, Baneshwor"
"12","5","5",,"5 Anna 2 paisa",80000000,"Kathmandu, Swoyambhu"
"13","5","4","2080 B.S","2 aana 3 paisa",22500000,"Kathmandu,Budhanilkantha"
"13","5","4","2080 B.S","2 aana 3 paisa",22500000,"Kathmandu,Budhanilkantha"
"13","7","3","2080 B.S","4 Anna",27500000,"Kathmandu,Ramkot"
"13","6","5","2080 B.S","4 aana 1.5 daam",41500000,"Lalitpur,Imadole"
"20","5","6","2080 B.S","3 Anna 2 Paisa",33500000,"Lalitpur,Imadol"
"13","5","5","2080 B.S.","3 aana 1 daam",31000000,"Lalitpur,Imadol"
"18","5","4","2078 B..S",,100000,"Kathmandu, Sitapaila"
"13","5","4","2080 B.S.","4 Anna 1 Paisa",42500000,"Lalitpur,Imadol"
"13","5","4","2081 B.S.","3 aana 1 paisa 2 daam",33500000,"Lalitpur,Imadol"
"13","5","3","2081 B.S.","3 aana 1 paisa 2 daam",35500000,"Lalitpur,Imadol"
"14","7","8","2081 B.S.","5 Anna 1 paisa",650000000,"Lalitpur,Imadol"
"13","5","4","2080 B.S","3 Anna",26500000,"Kathmandu, Buddhanilkantha"
"20","7","5","2081 B.S.","5 ana 1 paisa",67000000,"Kathmandu, Buddhanilkantha"
"11","6","3","2080 B.S","3 ana",33000000,"Satdobato,Lalitpur"
"9","5","3","2065","4anna","35000000","Kalanki-14, Kathmandu"
"13","8","4","2078 B.S.","3.5 Anna",38000000,"Kathmandu, Sanobharyang"
"20","7","6","2080 B.S","5 Anna",57000000,"Lalitpur,Imadole"
"20","6","5","2080 B.S.","5 aana",49500000,"Lalitpur,Imadol"
"12","6","7","2074 B.S","6 Anna",38000000,"Kathmandu, Ramkot"
"13","5","3","2071","10 Anna","75000000","Bhaisepati Colony ,Bhaisepati Lalitpur"
"12","6","5","2081 B.S.","5 aana 1 paisa 3 daam",38000000,"Kathmandu,Chandragiri"
"22","7","5","2076 B.S.","8 aana",60000000,"Kathmandu, Raniban"
"13","6","5","2079 B.S.","8 aana 2 paisa",70000000,"Kathmandu, Raniban"
"12","6","3","2081 B.S","4 aana",19500000,"Kathmandu, Satungal"
"19","2","1","2004","1005.35","26000000","Dhobikhola, Maitidevi , Nepal"
"12","7","4","2081 B.S.","4 Anna","2","Kalanki, Maitrinagar"
"13","5","3","2081 B.S.","3 aana 1 daam",750000000,"Kathmandu, Syuchatar"
"16","5","6",,"4 aana",32500000,"Kathmandu, Sanobharyang"
"13","4","4","2080 B.S","3 aana",25000000,"Kathmandu,Raniban"
"20","7","5","2081 B.S.","3 aana 1 paisa",28000000,"Kathmandu,Gothatar"
"20","5","4","2081 B.S.","3 Anna 1 paisa",28000000,"Kathmandu, Gothatar"
"14","5","5","2081 B.S.","3 aana 2 daam",32500000,"Kathmandu,Koteshwor"
"12","4","5","2063 B.S","7 aana","70","Kathmandu, soaltee mode"
"16","6","3",,"7 aana",100000,"Kathmandu, Samakhusi"
"20","4","4","2080 B.S","4.5 Anna","45000000","KATHMANDU, SANOBHARYANG"
"12","5","4","2022","0-7-2-2","76000000","Dholahity, Nakhipot Lane"
"20","5","3","2057 B.S.","13 aana 2 paisa",95000000,"Kathmandu, Sitapaila"
"20","5","4","2071 B.S","5 Anna 2 paisa",100000,"Lalitpur,Bhaisipati"
"13","6","4","2073 B.S.","8 aana 3 paisa 3 daam",70000000,"Kathmandu, Sitapaila"
"20","8","5","2081 B.S.","6 aana",55000000,"Kathmandu,Budhanilkantha"
"13","5","3","2080 B.S.","2 aana 3 paisa",17500000,"Kathmandu, kalanki"
"15","7","5","2081 B.S.","3 aana 2 paisa",29000000,"Kathmandu,Kalanki"
"13","6","6","2081 B.S.","2 aana 2 paisa",21500000,"Kathmandu, Syuchatar"
"12","4","3","2080 B.S","3 aana 2 paisa 3 daam",28000000,"Kathmandu, Sitapaila"
"16","7","6","2081 B.S.","4 aana 1 paisa",42500000,"Lalitpur,Imadole"
"26","6","6","2081 B.S.","4 aana",44500000,"Lalitpur,Imadole"
"26","6","4","2081 B.S.","3.75 aana",30000000,"Lalitpur,Imadol"
"13","6","5","2080 B.S","3 aana",29500000,"Kathmandu, Halchowk"
"20","6","6","2081 B.S.","4 aana",46000000,"Kathmandu, Sanobharyang"
"12","5","2","2073 B.S","2 aana 2 paisa 3 daam",22500000,"Lalitpur,hattiban"
"13","5","3","2080 B.S","3.2 Anna","26000000","Kathmandu,Adeshwor"
"13","6","5","2081 B.S.","9 Anna","65000000","Kathmandu,Syuchatar"
"14","5","4","2081 B.S.","3.2 Anna","28000000","Kathmandu, Tokha, Sudarsan Height"
"12","4","4","2079 B.S.","3 Anna","40000000","Kathmandu, Bafal"
"20","4","4","2080 B.S","4 Anna",100000,"Kathmandu, Mid-Baneshwor"
"13","6","4","2081","3 Ana 3 Paisa","42500000","Sital Height, Lalitpur"
"13","6","3","2079 B.S.","6.2 Anna","52500000","Kathmandu,Naikap"
"13","7","6","2081 B.S.","4 anna 2 daam","39500000","Lalitpur,Imadol"
"13","5","6","2081 B.S.","3 Anna 3 Paisa","32500000","Lalitpur,Imadol"
"16","10","6","2076 B.S","6 Anna","43500000","Kathmandu, LRI"
"13","5","4","2079 B.S.","3 aana 1 paisa 1 daam",31000000,"Kathmandu,Gurjudhara"
"16","2","2",,"16 aana",9500000,"Kathmandu,Basantapur"
