"roadSize","beds","bathrooms","builtOn","landArea","price","location"
"10","7","4",,"4.5 anna","22000000","Kathmandu, Syuchatar"
"13","6","4","2078 B..S","4 Anna","40000000","kathmandu, dallu"
"16","7","5","2074 B.S","3.2 Anna","29000000","Kathmandu, Banglamukhi, Sitapaila"
"14","4","3","2074 B.S","3.2 Anna","27500000","Rumba chowk, Sano bharyang, Kathmandu"
"12","4","3","2074 B.S","3 Anna","20000000","Kathmandu, Nagarjung, Raniban"
"18","5","5","2075 B.S","5.5 Anna","62000000","Kathmandu, Raniban"
"16","7","3","2078 B.S.","4.1 Anna","36000000","Kathmandu, Sano bharyang"
"13","4","3","2078 B..S","3.3 Anna","30000000","Lalitpur, Magargaun"
"13","3","3","2078 B.S","3 ANNA","30000000","Kathmandu, Raniban, Yekaltar"
"22","5","5","2078 B.S.","5 Anna","47500000","Kathmandu, Raniban"
"22","7","5","2078 B.S","7 Aana","30000000","Kathmandu,Hatti Gauda"
"10","6","3","2078 B..S","4.1.2 Anna","18500000","Kathmandu, Lolang, Aryatar"
"13","4","3","2078 B..S","3 Anna","28000000","Kathmandu, Thulo-bharyang, Halchowk"
"13",,"3",,"26 Anna","3500","Kathmandu, Balwatar."
"10","5","4","2078 B..S","3.2 Anna","32500000","Kathmandu, Thulo Bharayang"
"26","6","4","2074 B.S","0.4.0.2 Anna","30500000","Kathmandu, Ramkot"
"20","6","4","2078 B..S","3.2 Anna","36000000","Kathmandu, Tarkeshwor, Sangam Tole"
"13","4","4","2077 B.S","3 Anna","26000000","Kathmandu, Sitapaila, Adeshwor"
"15","5","4","2068 B.S","4 Anna","26500000","Kathmandu, Sitapaila, Adeshwor"
"16","8","5","2077 B..S","5 Anna","43000000","Kathmandu, Sano bharyang"
"16","6","6","2078 B..S","4 Anna","30500000","Kathmandu, Sitapaila, Adeshwor"
"14","7","5","2078 B..S","0-8-2-0",750000000,"Kathmandu, Golfutar"
"13","7","3","2074 B.S","3.2.2 Anna","23500000","Kathmandu, Sitapaila, Banglamukhi"
"16","5","5","2072 B.S.","7.2 Anna",50000000,"Kathmandu, Sitapaila"
"16","4","4","2073 B.S","5 Anna","37500000","Kathmandu, Sitapaila"
"13","4","3","2078 B.S.","3.3.3 AANA","24000000","Kathmandu, Ramkot, Nagarjung-6"
"13","4","3","2078 B..S","3 Anna","29500000","Kathmandu, Dallu"
"13","4","5","2065 B.s","20 Anna","125000000","Kathmandu, Budhanilkantha, Bhangal"
"22","6","5","2076 B.S","4.5 anna","33500000","Kathmandu, Sita-paila"
"20","6","4","2078 B.S.","0.4.2.1",250000000,"Kathmandu, Raniban, Radha Krishna"
"20","3","3","2077 B.S","4.3 Anna",250000000,"Kathmandu,Raniban, Kharibot"
"13","5","4","2078 B..S","3.5 anna","29000000","Kathmandu, Sitapaila-5"
"13","5","3","2078 B..S","4 Anna","28500000","Kathmandu, Bafal"
"13","3","3","2074 B.S","11 Anna","110000","Kathmandu, Budhanilkantha, Yekatabasti"
"20",,,"2078 B..S","5.2 anna",,"Kathmandu,  Aakase Dhara"
"12","5","3","2078 B..S","3 Anna","28500000","Kathmandu, Bafal"
"25",,,,"1 Ropani","250000","Kathmandu, Putalisadak"
"16","6","3","2079 B.S.","3 Anna","22000000","Kathmandu, Sitapaila"
"20","6","4","2045 B.S","13.2 Anna","120000","Lalitpur, Khumaltar Heights"
"20","5","3","2056 B.S.","27 Anna",300000,"Kathmandu, Ravibhawan"
"13","6","3","2078 B..S","3 Anna","20500000","Kathmndu, Nagarjung-8"
"16","4","2","2078 B..S","0.2.2.2",80000000,"Kathmandu, Nagarjung, Towkhel"
"13",,,,"3-5 Anna",3500000,"Kathmandu, Sitapaila-5,Sankata"
"13",,,,"3-8 Anna",2400000,"Kathmandu,Nagajung-7, Bhimdhunga"
"13","4","3","2078 B..S","0.5.2.1","39000000","Lalitpur, Nakhu"
"16","5","5","2070 B.S","9 Anna",200000000,"Kathmandu, Sitapaila Mandir"
"13","9","4","2063 B.S","6 Anna","47000000","Kathmandu, Nagarjung-3, Ekdhara"
"13","4","3","2074 B.S","4 Anna","35000","Kathmandu, Swoyambhu,Panidhara"
"10","6","4","2061 B.S.","8 Anna","60000000","Lalitpur, Bhaisepati, Sainbu"
"13","4","3","2058 B.S","22 Anna","150000","Thapathali, Kathmandu"
"13","4","4","2074 B.S","17 Anna","300000","Kathmandu, Sanepa"
"20","4","5",,"18 Annas","230000","Lalitpur, Sanepa"
"14","4","5","2079 B.S.","3.3 ANna","37500000","Lalitpur, Bhaisepati"
"13","5","3","2079 B..S","3 Anna 1 Dam","28500000","Lalitpur, Imadol, Cozy Homes"
"16","5","5",,"14 Anna","250000","Lalitpur, Sanepa"
"16","5","5","2077 B.S","8 Anna","6","Kathmandu, Sitapaila"
"13","5","4",,"12 Anna",500000,"Kathmandu, Maharajgung"
"13","8","4","2079 B.S.","3 Anna","31000000","Kathmandu, Nagarjung-3, Buddha Chowk"
"13","4","4","2079 B..S","2.2 Anna","27500000","Karhmandu, Nagarjung-2"
"13","5","5","2079 B.S","3.1 Anna","29000000","Lalitpur, Bhaisepati, Nakhu"
"12","11","5","2078","4.5 anna","35000000","Narayntar gokarneswhor municipality"
"13","4","3","2078 B..S","2.3 Anna",,"Lalitpur, Hattiban"
"13","14","6","2069","12 aanaa","29000000","Godamchaur, Lalitpur"
"13","4","4","2078 B..S","3 Anna","22500000","Kathmandu,Sano Bharayang"
"20","4","3","2079 B.S.","3.2 / 3 Anna","30000000","Kathmandu,Raniban"
"16","5","6","2066 B.S","3 Ropani",,"Kathmandu, Sitapaila"
"13","5","3","2078 B..S","3.2 Anna","28500000","Kathmandu, Sitapaila"
"16","5","4","2063 B.S","9 Anna","55000000","Saranpur, Sitapaila, Kathmandu"
"20","4","4","2065 B.S.","4.2 Anna","40000000","Kathmandu, Bafal"
"22","7","5","2055 B.S","7 Aana","75000000","Kathmandu,Kuleshwor"
"13","6","5","2078 B.S.","5.1 Anna","27000000","Kathmandu, Chandagiri, Khahare"
"12","4","3",,"3 Anna","30000000","KATHMANDU, BAFAL"
"16","7","3",,"2.3 Anna","26500000","KATHMANDU, CHAMATI"
"13","6","5","2075 B.S","5 Anna","39800000","KATHMANDU, SANOBHARYANG"
"13","5","3",,"5 ANNA 3 PAISA","34000000","LALITPUR, HATTIBAN"
"10","5","4",,"4 Anna 2 Daam","32000000","BHAKTAPUR, KAUSHALTAR"
"13","5","4","2079 B.S.","4 Anna","39500000","Kathmandu, Syuchatar"
"13","6","3",,"3 Anna 3 paisa","28500000","Kathmandu, Sitapaila"
"13","6","3",,"3 Anna 1 Paisa 2 Dam","26000000","Kathmandu, Sitapaila"
"14","5","2","2079 B.S.","2.3 Anna","30000000","Kathmandu, Sano-Bharyang"
"10","5","4","2079 B.S.","3 Anna","19500000","Satungal, Kathmandu"
"10","5","3",,"2.3 Anna","18500000","Satungal, Kathmandu"
"13","11","5",,"8 Anna 1 paisa","46500000","Naicap, Kathmandu"
,,,"call us","7 dhur",,"BIRATNAGAR RADHAKRISHNA MANDIR EAST"
"14","4","4","2079 B.S.","3.5 Anna","28500000","Kathmandu, Sitapaila"
"13","3",,"2079 B.S.","5.5 Anna","35","Kathmandu,Bafal,Tahachal"
"14","4","4","2079 B.S.","3.5 - 4 Anna","3","Kathmandu,Bafal,Tahachal"
"12","12","5","2074 B.S","5 Anna","47000000","Kathmandu, Dallu"
"6",,,"call us","5.5 dhur",,"BIRATNAGAR TRIMURTI CHOWK"
"13","4","3","2078 B..S","0.2.3.0 Anna","25500000","Kathmandu,Nagarjung, Sano bharayang"
"13","6","4","2079 B.S.","03.0.01","32000000","Kathmandu, Nagarjung, Sano Bharayang"
"13","6","3",,"4 Anna","26500000","KATHMANDU, CHANDRAGIRI"
"13","6","3","2078 B..S","0.5.0.1 Anna","23500000","KATHMANDU, CHANDRAGIRI"
"20","7","1","call us","3 KATTHA","150000","BIRATNAGAR 02 TINPAINI EAST"
"20","8","2","call us","10 dhur","18000000","BIRATNAGAR 02 WEST OF EAST OF TINPAINI"
"13","6","5","2079","0.3.2.1","275","Imadol 4 bojepokhari lalitpur nepal"
"13","7","7","2079 B.S.","5 Anna","38000000","Kathmandu, Bhaisepati"
"13","8","5","2065 B.S","0.4.2.0","39000000","Kathmandu, Sitapaila-15"
"22",,"2",,"3 Paisa","15500000","KATHMANDU, LAZIMPAT"
"8","3","1",,"5.3 Anna",8400000,"KATHMANDU, BANESHWOR"
"20","4","2",,"3 Anna","130000","LALITPUR,THADODHUNGA, JHAMSKHEL"
"13","3","2","2072 B.S","2.2 Anna","14500000","Kathmandu, Budhanilkantha, Chyasindol"
"14","2","2","2079 B.S","14 Anna","127500000","Kathmandu, Dhapasi Height"
"13","5","3","2079 B.S.","3 Anna","21500000","Lalitpur, Hattiban"
"8","9","3","2048 B.S","7 Anna","65000000","Kathmandu, Sorakhutee, Kaldhara"
"20",,,,"32 Anna",1000000,"NAXAL, KATHMANDU"
"14","4","3","2061 B.S","17 anna","100000","Kathmandu, Sitapaila"
"16","4","5","2073 B.s","4 Anna","33500000","Kathmandu, Swoyambhu, Karkhana chowk"
"14","7","5","2073 B.S","5.5a","90000","Kathmandu, Sitapaila"
"13","4","1",,,"30000000","KATHMANDU, NAGARJUNG, RANIBAN"
"14",,,,,300000,"KATHMANDU, KALANKI"
"10","9","4",,"6.1.9 Anna","38500000","KATHMANDU, SITAPAILA"
"16","2","1",,,,"KALANKI, KATHMANDU"
"13","5","3",,"3 Anna","27500000","IMADOL, LALITPUR"
"13","6","5",,"3 Anna","27500000","LALITPUR, IMADOL"
"13","7","7",,"5 Anna","34500000","LALITPUR, IMADOL"
"20","5","2",,"4.2 Anna","49000000","KATHMANDU, SANOBHARYANG"
"20","5","3",,"2.5 Anna","27000000","KATHMANDU, CHAMATI"
"7","12","4","2064 B.S","2.3 Anna","25000000","KATHMANDU, SORAKHUTTE"
"13",,,,"0-12-3-2",3000000,"Kathmandu, Tarkeshwor, Lolang"
"14","6","7",,"10.1.2 Anna","60000000","KATHMANDU, NAGARJUNG, RANIBAN"
"13","7","6","2079 B.S","0.4.1.1 Anna","41500000","Kathmandu, Thulo Bharayang"
"13","8","5",,"8 Anna","42000000","Kathmandu / Sitapaila / Milan Tole"
"13","6","3",,"3 Anna","31500000","KATHMANDU / NAGARJUNG / SANOBHARYANG"
"13","5","3",,"3 Anna","26500000","KATHMANDU, RADHA KRISHNA"
"20","4","4","2079 B.S.","7 Aana",,"Lalitpur, Thaiba"
"13","6","5","2074 B.S.","0.5.2.0","37500000","Kathmandu, Sano Bhanrayang"
"12",,,,"2 Anna 3 Paisa 2 Dam","22500000","KATHMANDU,BUDDHA CHOWK, GANESH CHOWK"
"22",,,,"7 Aana",6000000,"KATHMANDU / RANIBAN / TINGHARE"
"13","5","4","2076 B.S","3.1 Anna","26000000","Kathmandu, Sano bharayang"
"20","8","3","2079 B.S.","2.5 Anna","29500000","KATHMANDU, CHAMATI"
"10","3","3","2079 B.S.","2.2 Anna","22500000","Kathmandu, Sitapaila"
"16","5","4",,"4 Anna","45000","Kathmandu, Sitapaila"
"13","4","4",,"21.3 Anna","8000000","Kathmandu, Kalimati,Tankeshwor"
"16","9","6","2074 B.S","0-7-2-0",20000000,"Kathmandu, Ramkot, Padma Colony"
"12","6","3",,"2.2 Anna","24500000","Kathmandu, Gongabu"
"13","5","4",,"6 Anna","68000000","Lalitpur/ Sangam Basti"
"13","7","5",,"4 Anna","45000000","Kathmandu, Bansbari"
"16","11","7",,"16 Anna","80000000","Kathmandu, Budhanilkantha, Golfutar, Bansbari"
"12","7","4",,"0.3.0.1 Anna","29900000","Kathmandu/ Nagarjung/ Sanobharyang"
"13","8","4",,"3.3.2 Anna","37500000","Kathmandu, Nagarjung, Halchowk"
"14","5","3",,"3 Anna","325000000","Kathmandu, Nagarjung, Bafal"
"20","4","3",,"3.2 Anna","28500000","Kathmandu, Dallu"
"13","6","4","2079 B.S","4.1 Aana","25500000","Kathmandu,Towkhel"
"13","5","6","2079 B.S.","5.3aana","61500000","Kathmandu, Kimdol"
,,,,,40000000,"Kathmandu, Dallu"
"16",,,"2073",,"38500000","Kathmandu, Sitapaila"
"20","19","3","2078 B.S.","3.2 Anna","36000000","KATHMANDU, SANOBHARYANG"
"8","3","2","2078 B..S","2.5","31000000","Sukedhara , Kathmandu"
"16","8",,,"4.2 Anna","100000","Kathmandu, Dallu"
"13","6","4","2079 B.S.","4 Anna","28500000","KATHMANDU, BAFAL"
"20","7","5","2078 B..S","3.1 Anna","34000000","Kathmandu, Chamati"
"18","7","5","2079 B.S","6 Anna","55000000","Kathmandu, Sitapaila"
"13","6","7","2078 B..S","7 Anna","42500000","Kathmandu, Sitapaila"
"20","4","4","1990","6 aana","7000000","Swayambhu, Kathmandu"
"13","8","3","2079 B.S.","4.5 Anna","18500000","Kathmandu, Thankot"
"13","3","1","2079 B.S.","3.1 Anna","11500000","Kathmandu, Thankot"
"13","7","4","2079 B.S.","3.5 Anna","17000000","Kathmandu, Thankot"
"13","5","3","2079 B.S.","3 Anna","33000000","Kathmandu, Dhungedhara"
"12","6","3","2072 B.S.","3.5 Aana","31000000","Kathmandu ,Sanobharyang"
"20","16","16","2079","10-12 dhur","21500000","Purwanchal Campus Football Ground, Panmara Road, LANGHALI CHOK, Dharan, Dharan Sub-Metropolitan, Dharan, Sunsari, Koshi Province, 56100, Nepal"
"14","5","3","2079 B.S.","3.1 Aana","23500000","Kathmandu, Sitapaila,Syuchatar"
"13","5","5","2059 B..S","14.5 Aana","120000000","Kathmandu,Budhanilkanta,Italitar"
"13","6","4","2078 B..S","3.2 Anna",500000000,"Kathmandu,Bafal"
"13","5","3","2078 B..S","0.3.5.0","29500000","LALITPUR, IMADOL,TEMPO PARK"
"16","4","4","2078 B.S.","3 ANNA","30000000","Kathmandu,Sitapaila"
"12","6","3","2073 B.S","6 Anna","60000000","Kathmandu, Baniyatar"
"13","4","2","2076B.S","0.4.2.5 Anna",500000000,"Lalitpur,Sainbu"
"18","11","9","2058 B.S","12 Anna","160000000","Lalitpur,Bhaisepati"
"10","6","3","2079 B.S","0.3.2.5 ANNA","28000000","Kathmandu,Sitapaila"
"16","6","3","2075 B.S","3.2 Anna","2","Kathmandu, Ramkot"
"13","6","3","2079 B.S","0.4.2.0 Anna","3","Swoyambhu , Karkhana Chowk"
