locationLat,locationLon,roadSize,bedrooms,bathrooms,landArea,price,builtOn
27.795043200000002,85.37728826526322,13,4,3,68.45,25500000,2021
27.795043200000002,85.37728826526322,13,6,4,1048.14,32000000,2022
27.6928184,85.2247831,13,6,3,171.125,23500000,2021
27.6648498,85.3487309,13,6,5,1219.26,27500000,2022
27.6538132,85.3044253,13,7,7,1711.25,38000000,2022
27.707529,85.282715,13,8,5,1540.12,39000000,2008
27.7546308,85.34910948747253,13,3,2,752.95,14500000,2015
27.7498625,85.3380581,14,2,2,4791.5,127500000,2022
27.6499414,85.3325441,13,5,3,1026.75,21500000,2022
27.7188423,85.3095996,8,9,3,2395.75,65000000,1991
27.707529,85.282715,14,4,3,5818.25,30000000,2004
27.7103336,85.2933481,16,4,5,1369,33500000,2016
27.707529,85.282715,14,7,5,1882.375,39000000,2016
27.71819,85.3096666,7,12,4,787.175,25000000,2007
27.7197605,85.2869099,13,7,6,136.9,41500000,2022
27.7209172,85.2892154,13,6,5,171.125,37500000,2017
27.7209172,85.2892154,13,5,4,1060.9750000000001,26000000,2019
27.7204621,85.2959601222044,20,8,3,855.625,29500000,2022
27.707529,85.282715,10,3,3,752.95,22500000,2022
27.7208558,85.2521799,16,9,6,2566.87,20000000,2017
27.712486,85.2875176,13,5,6,1813.925,61500000,2022
27.7209172,85.2892154,20,19,3,1095.2,36000000,2021
27.7279694,85.3457219,8,3,2,1112.3,31000000,2021
27.7017723,85.2879742,13,6,4,1369,28500000,2022
27.7204621,85.2959601222044,20,7,5,1060.9750000000001,34000000,2021
27.707529,85.282715,18,7,5,2053.5,55000000,2022
27.707529,85.282715,13,6,7,2395.75,42500000,2021
27.6930852,85.219198,13,8,3,1540.125,18500000,2022
27.6930852,85.219198,13,3,1,1060.9750000000001,11500000,2022
27.6930852,85.219198,13,7,4,1197.875,17000000,2022
27.7234503,85.2945917,13,5,3,1026.75,33000000,2022
27.707529,85.282715,14,5,3,1060.9750000000001,23500000,2022
27.7780872,85.36232349672666,13,5,5,4962.625,120000000,2002
27.7017723,85.2879742,13,6,4,1095.2,37500000,2021
24.29396375,77.83787467671048,13,5,3,1454.55,29500000,2021
27.707529,85.282715,16,4,4,1026.75,30000000,2021
27.7483836,85.3184514,12,6,3,2053.5,60000000,2016
27.64933,85.3035881,13,4,2,136.9,35000000,2019
27.6561677,85.3060365,18,11,9,4107,160000000,2001
27.707529,85.282715,10,6,3,102.675,28000000,2022
27.7208558,85.2521799,16,6,3,1095.2,20000000,2018
27.7103336,85.2933481,13,6,3,136.9,30000000,2022
27.707529,85.282715,13,6,3,68.45,22000000,2021
27.707529,85.282715,10,4,3,855.625,20000000,2017
27.707529,85.282715,12,6,5,1540.125,27500000,2020
27.707529,85.282715,14,4,3,1347.6000000000001,30000000,2021
27.6930852,85.219198,13,8,3,1026.75,20000000,2015
27.6930852,85.219198,12,4,3,1026.75,16500000,2020
27.6279927,85.3323532,10,4,7,1369,28800000,2015
27.58124135,85.3393152341215,8,5,4,1711.25,30000000,2017
27.666822,85.344299,20,7,3,1060.9750000000001,50000000,2022
27.676664,85.2782438,20,4,3,2909.125,80000000,2017
27.666822,85.344299,20,5,4,1026.75,27500000,2022
27.6601651,85.3521557,13,5,4,1060.9750000000001,10000000,2022
27.6601651,85.3521557,13,5,4,1060.9750000000001,10000000,2022
27.6601651,85.3521557,13,6,4,102.675,35000000,2021
27.707529,85.282715,13,6,7,2566.875,70000000,2022
27.707529,85.282715,10,5,3,1369,22000000,2014
27.69021995,85.25546344526533,13,4,3,1369,25000000,2022
27.707529,85.282715,13,5,5,1240.6499999999999,28000000,2022
13.5842501,79.3166721,14,5,3,1197.875,20000000,2022
27.7209172,85.2892154,20,6,4,1711.25,40000000,2022
27.707529,85.282715,13,4,4,102.675,20000000,2022
27.707529,85.282715,16,5,5,1711.25,38500000,2017
27.707529,85.282715,20,4,4,2909.125,51000000,2018
27.7780872,85.36232349672666,20,4,4,2566.875,60300000,1966
27.666822,85.344299,16,6,4,102.675,32500000,2023
27.666822,85.344299,13,6,4,1026.75,29500000,2023
27.7342051,85.3573186,14,5,3,1026.75,25000000,2023
27.6632,85.36113,13,5,3,1095.2,21500000,2022
27.6632,85.36113,13,4,3,1129.425,22500000,2023
27.6601651,85.3521557,13,7,6,1403.225,40200000,2023
27.6601651,85.3521557,13,5,4,1129.425,30000000,2023
27.6601651,85.3521557,10,6,3,1026.75,27590000,2023
27.6632,85.36113,13,6,4,17198.06,22300000,2023
27.6632,85.36113,13,5,5,1403.225,34100000,2023
27.6601651,85.3521557,20,7,6,1471.675,40000000,2023
27.6601651,85.3521557,20,6,5,22502.93,36000000,2023
27.6601651,85.3521557,20,6,5,1540.125,41000000,2023
27.7017723,85.2879742,11,4,4,1711.25,43500000,2023
27.707529,85.282715,13,5,4,1369,24500000,2011
27.704922099999997,85.29074536635255,12,5,3,1369,35000000,2012
27.707529,85.282715,12,5,4,1026.75,26700000,2023
27.7197605,85.2869099,12,5,3,1026.75,32000000,2023
27.7209172,85.2892154,20,6,5,2053.5,44500000,2019
27.6601651,85.3521557,13,5,4,102.675,24600000,2023
27.6601651,85.3521557,13,5,3,1060.9750000000001,27800000,2023
27.6601651,85.3521557,13,6,3,102.675,21200000,2023
27.6601651,85.3521557,13,4,3,1026.75,20900000,2023
27.6601651,85.3521557,13,6,3,1129.425,24900000,2023
27.7209172,85.2892154,20,6,5,2053.5,42000000,2020
27.707529,85.282715,12,5,4,1403.225,29600000,2017
27.6632,85.36113,13,4,3,1369,34500000,2022
27.707529,85.282715,16,5,4,9925.25,50000000,2008
27.7209172,85.2892154,26,12,4,2053.5,55000000,2023
27.7197605,85.2869099,20,6,4,2395.75,50000000,2018
27.7209172,85.2892154,10,12,9,2395.75,40100000,2008
27.795043200000002,85.37728826526322,20,4,4,1326.21,31200000,2017
27.676664,85.2782438,13,7,4,102.675,40000000,2022
27.707529,85.282715,14,3,2,1369,32400000,2017
27.795043200000002,85.37728826526322,13,5,3,1095.2,28900000,2023
27.6932983,85.2816525,13,5,3,102.675,36000000,2022
27.707529,85.282715,13,6,6,136.9,41000000,2023
27.707529,85.282715,13,5,4,102.675,39700000,2023
27.6932983,85.2816525,14,2,3,2738,43500000,1959
27.6932983,85.2816525,13,6,5,1026.75,35000000,2023
27.7197605,85.2869099,13,5,4,1711.25,27500000,2017
27.7209172,85.2892154,20,5,5,4449.25,750000000,2017
27.7055352,85.2916917,12,5,4,2738,100000000,2016
27.7197605,85.2869099,16,5,4,1403.225,37800000,2023
27.707529,85.282715,16,4,3,1026.75,32500000,2018
27.707529,85.282715,13,4,3,1326.21,20000000,2018
27.6930852,85.219198,14,6,3,1026.75,20000000,2012
27.6930852,85.219198,13,3,1,1240.6499999999999,27800000,2022
27.7017723,85.2879742,12,5,3,1060.9750000000001,27000000,2020
27.7103336,85.2933481,16,8,3,2395.75,38000000,2022
27.6279927,85.3323532,20,7,5,1240.6499999999999,31500000,2021
27.7103336,85.2933481,13,5,4,1095.2,33000000,2017
