location,roadSize,bedrooms,bathrooms,landarea,price,builtOn
"Lalitpur,Imadol",13,7,6,4 Anna 2 Dam,39500000,2081 B.S.
"Lalitpur,Imadol",13,5,6,3 Anna 3 Paisa,32500000,2081 B.S.
"Kathmandu, LRI",16,10,6,6 Anna,43500000,2076 B.S
"Kathmandu,Gurjudhara",13,5,4,3 Anna 1 paisa 1 Dam,31000000,2079 B.S.
"Imadol, Lalitpur",12 Feet,5,4,4.0 Anna,Rs. 2.9 Cr,2076 B.S
"Satdobato, Lalitpur",10 Feet,5,6,3.0 Anna,Rs. 4.75 Cr,2076 B.S
"Imadol, Lalitpur",10 Feet,4,4,2.3 Anna,Rs. 1.99 Cr,2060 B.S
"Bhaisepati, Lalitpur",12 Feet,4,3,7.0 Anna,Rs. 4 Cr,2059 B.S
"Maharajgunj, Kathmandu",20 Feet,4,4,6.0 Anna,Rs. 42300000,2071 B.S
"Bhaisepati, Lalitpur",12 Feet,6,5,6.0 Anna,Rs. 37000000,2076 B.S
"Bhaisepati, Lalitpur",13 Feet,4,3,3.2 Anna,Rs. 3.3 Cr,2074 B.S
"Budhanilkantha, Kathmandu",14 Feet,5,4,4.3 Anna,Rs. 4 Cr,2065 B.S
"Gyaneshwor, Kathmandu",10 Feet,13,5,2.2 Anna,Rs. 4.5 Cr,2066 B.S
"Bhaisepati, Lalitpur",12 Feet,5,5,5.0 Anna,Rs. 3 Cr,2075 B.S
"Imadol, Lalitpur",13 Feet,6,5,5.2 Anna,Rs. 4.99 Cr,2079 B.S
"Kharibot, Kathmandu",16 Feet,4,2,3.0 Anna,Rs. 2.45 Cr,2070 B.S
"Bafal, Kathmandu",13 Feet,4,5,4.0 Anna,Rs. 2.5 Cr,2078 B.S
"Khumaltar, Lalitpur",20 Feet,4,4,4.0 Anna,Rs. 4.25 Cr,2078 B.S
"Bhaisepati, Lalitpur",12 Feet,4,5,6.2 Anna,Rs. 6.5 Cr,2077 B.S
"Bhaisepati, Lalitpur",13 Feet,4,5,4.2 Anna,Rs. 3.6 Cr,2077 B.S
"Khumaltar, Lalitpur",14 Feet,6,6,5.0 Anna,Rs. 5.8 Cr,2078 B.S
"Bhaisepati, Lalitpur",12 Feet,5,7,3.2 Anna,Rs. 2.5 Cr,2078 B.S
"Bhaisepati, Lalitpur",16 Feet,4,4,5.2 Anna,Rs. 4.8 Cr,2077 B.S
"Tahachal, Kathmandu",20 Feet,4,5,4.1 Anna,Rs. 6.65 Cr,2077 B.S
"Dhapasi, Kathmandu",14 Feet,5,5,9.6 Anna,Rs. 13.3 Cr,2077 B.S
"Thecho, Lalitpur",12 Feet,5,7,7.0 Anna,Rs. 8.5 Cr,2078 B.S
"Bhaisepati, Lalitpur",12 Feet,4,5,5.0 Anna,Rs. 5.5 Cr,2078 B.S
"Bhaisepati, Lalitpur",20 Feet,4,4,3.1 Anna,Rs. 4.75 Cr,2075 B.S
"Imadol, Lalitpur",13 Feet,5,4,3.2 Anna,Rs. 2.95 Cr,2075 B.S
"Sanepa, Lalitpur",10 Feet,5,3,5.0 Anna,Rs. 6.35 Cr,2078 B.S
"Bhaisepati, Lalitpur",13 Feet,5,6,7.0 Anna,Rs. 8.5 Cr,2075 B.S
"Maharajgunj, Kathmandu",12 Feet,4,4,11.0 Anna,Rs. 10.5 Cr,2078 B.S
"Bhaisepati, Lalitpur",26 Feet,4,4,7.0 Anna,Rs. 6.4 Cr,2075 B.S
"Sunakothi, Lalitpur",20 Feet,3,4,4.0 Anna,Rs. 3.5 Cr,2080 B.S
"Kapan, Kathmandu",16 Feet,6,5,3.0 Anna,Rs. 2.2 Cr,2078 B.S
"Dhobighat, Lalitpur",16 Feet,4,4,3.0 Anna,Rs. 3.75 Cr,2078 B.S
"Hattiban, Lalitpur",20 Feet,5,4,6.0 Anna,Rs. 8 Cr,2078 B.S
"Satdobato, Lalitpur",13 Feet,6,7,4.2 Anna,Rs. 5.5 Cr,2077 B.S
"Bhaisepati, Lalitpur",13 Feet,4,4,3.3 Anna,Rs. 5.5 Cr,2075 B.S
"Sanepa, Lalitpur",20 Feet,5,5,9.0 Anna,Rs. 7.75 Cr,2078 B.S
"Budhanilkantha, Kathmandu",13 Feet,7,7,12 Anna,Rs. 16 Cr,2074 B.S
"Imadol, Lalitpur",13 Feet,5,3,4.1 Anna,Rs. 3.19 Cr,2078 B.S
"Sitapaila, Kathmandu",13 Feet,4,3,3.0 Anna,Rs. 2.5 Cr,2074 B.S
"Pokhara, Kaski",20 Feet,4,4,11.0 Anna,Rs. 12 Cr,2080 B.S
"Bhaisepati, Lalitpur",13 Feet,5,6,6.4 Anna,Rs. 6.25 Cr,2078 B.S
"Budhanilkantha, Kathmandu",12 Feet,7,7,12.0 Anna,Rs. 16 Cr,2078 B.S
"Hattiban, Lalitpur",12 Feet,4,4,2.2 Anna,Rs. 2.8 Cr,2078 B.S
"Bhaisepati, Lalitpur",25 Feet,6,4,5.0 Anna,Rs. 4.8 Cr,2078 B.S
"Imadol, Lalitpur",13 Feet,5,3,3.1 Anna,Rs. 2.5 Cr,2076 B.S
"Sanepa, Lalitpur",19 Feet,4,2,5.0 Anna,Rs. 3.35 Cr,2076 B.S
"Sanepa, Lalitpur",19 Feet,4,3,5.0 Anna,Rs. 3.50 Cr,2075 B.S
"Bhaisepati, Lalitpur",18 Feet,4,5,4.0 Anna,Rs. 4 Cr,2076 B.S
"Nakhipot, Lalitpur",13 Feet,5,3,7.0 Anna,Rs. 6 Cr,2076 B.S
"Imadol, Lalitpur",12 Feet,4,4,3.5 Anna,Rs. 2.5 Cr,2071 B.S
"Imadol, Lalitpur",12 Feet,5,4,3.3 Anna,Rs. 2.7 Cr,2078 B.S
"Gwarko, Lalitpur",12 Feet,5,4,3.0 Anna,Rs. 2.75 Cr,2074 B.S
"Budhanilkantha, Kathmandu",16 Feet,5,5,11.0 Anna,Rs. 11 Cr,2077 B.S
"Hattiban, Lalitpur",15 Feet,6,4,3.3 Anna,Rs. 3.25 Cr,2077 B.S
"Hattiban, Lalitpur",13 Feet,5,4,3.1 Anna,Rs. 2.8 Cr,2078 B.S
"Imadol, Lalitpur",12 Feet,6,4,3.2 Anna,Rs. 3.1 Cr,2078 B.S
"Baneshwor, Kathmandu",13 Feet,4,4,5.0 Anna,Rs. 4 Cr,2077 B.S
"Tokha, Kathmandu",15 Feet,3,3,6 Anna,Rs. 3.5 Cr,2075 B.S
"Imadol, Lalitpur",20 Feet,6,5,5.2 Anna,Rs. 3.15 Cr,2078 B.S
"Hattiban, Lalitpur",13 Feet,6,6,3.2 Anna,Rs. 2.9 Cr,2077 B.S
"Imadol, Lalitpur",20 Feet,5,4,4.2 Anna,Rs. 4.25 Cr,2078 B.S
"Bhaisepati, Lalitpur",12 Feet,4,4,4.0 Anna,Rs. 4.65 Cr,2074 B.S
"Bhaisepati, Lalitpur",20 Feet,5,4,4.0 Anna,Rs. 4 Cr,2080 B.S
"Sanepa, Lalitpur",16 Feet,6,5,5.0 Anna,Rs. 5.95 Cr,2078 B.S
"Nakkhu, Lalitpur",13 Feet,4,4,5.0 Anna,Rs. 3.9 Cr,2078 B.S
"Hattiban, Lalitpur",13 Feet,8,3,4.0 Anna,Rs. 3.2 Cr,2078 B.S
"Hattiban, Lalitpur",13 Feet,8,3,4.0 Anna,Rs. 3.25 Cr,2077 B.S
"Sunakothi, Lalitpur",20 Feet,4,4,7.1 Anna,Rs. 5.15 Cr,2074 B.S
"Kalanki, Kathmandu",10 Feet,8,6,4.0 Anna,Rs. 3.5 Cr,2075 B.S
"Imadol, Lalitpur",20 Feet,4,4,4.3 Anna,Rs. 3.25 Cr,2078 B.S
"Bhangal , Kathmandu",13 Feet,5,6,3.1 Anna,Rs. 3.2 Cr,2074 B.S
"Sukedhara, Kathmandu",13 Feet,5,3,5.2 Anna,Rs. 5.5 Cr,2075 B.S
"Hattiban, Lalitpur",13 Feet,5,3,2.3 Anna,Rs. 2.3 Cr,2074 B.S
"Chandragiri, Kathmandu",20 Feet,3,3,3.3 Anna,Rs. 1.7 Cr,2078 B.S
"Imadol, Lalitpur",13 Feet,5,4,2.3 Anna,Rs. 2.4 Cr,2077 B.S
"Tikathali, Lalitpur",13 Feet,4,4,4.0 Anna,Rs. 2.75 Cr,2074 B.S
"Tikathali, Lalitpur",13 Feet,4,3,3.2 Anna,Rs. 2.25 Cr,2074 B.S
"Lubhu, Lalitpur",13 Feet,4,4,4.2 Anna,Rs. 1.8 Cr,2078 B.S
"Imadol, Lalitpur",14 Feet,3,3,3.2 Anna,Rs. 2.5 Cr,2077 B.S
"Hattiban, Lalitpur",13 Feet,1,1,3.1 Anna,Rs. 1.65 Cr,2074 B.S
"Bhaisepati, Lalitpur",12 Feet,5,5,6.3 Anna,Rs. 5.1 Cr,2078 B.S
"Imadol, Lalitpur",20 Feet,5,3,7.0 Anna,Rs. 5.99 Cr,2077 B.S
"Imadol, Lalitpur",20 Feet,4,3,4.3 Anna,Rs. 3.25 Cr,2074 B.S
"Swoyambhu, Kathmandu",20 Feet,6,4,9.0 Anna,Rs. 50 Lac/Anna,2078 B.S
"Bhaisepati, Lalitpur",13 Feet,5,5,3.2 Anna,Rs. 2.75 Cr,2077 B.S
"Sudal, Bhaktapur",13 Feet,2,1,4.0 Anna,Rs. 1.27 Cr,2074 B.S
"Baluwatar, Kathmandu",20 Feet,4,4,4.0 Anna,Rs. 2.25 Cr,2068 B.S
"Bhaisepati, Lalitpur",18 Feet,6,4,6.0 Anna,Rs. 6.1 Cr,2070 B.S
"Hattiban, Lalitpur",18 Feet,5,4,4.1 Anna,Rs. 3.69 Cr,2079 B.S
"Sunakothi, Lalitpur",20 Feet,3,2,2.3 Anna,Rs. 2.3 Cr,2070 B.S
"Budhanilkantha, Kathmandu",14 Feet,5,5,4.0 Anna,Rs. 3.2 Cr,2079 B.S
"Nil Barahi Mandir, Bhaktapur",20 Feet,6,3,3.2 Anna,Rs. 1.55 Cr,2078 B.S
"Dhapasi, Kathmandu",13 Feet,7,6,4.2 Anna,Rs. 4.25 Cr,2080 B.S
"Katyani Chowk, Kathmandu",24 Feet,9,4,7.0 Anna,Rs. 6.5 Cr,2074 B.S
"Gaurighat, Kathmandu",15 Feet,6,5,4.0 Anna,Rs. 3.5 Cr,2076 B.S
"Budhanilkantha, Kathmandu",16 Feet,6,6,3.2 Anna,Rs. 2.8 Cr,2076 B.S
"Lubhu, Lalitpur",13 Feet,2,1,3.0 Anna,Rs. 1.33 Cr,2077 B.S
"Imadol, Lalitpur",13 Feet,4,2,2.2 Anna,Rs. 1.6 Cr,2075 B.S
"Harisiddhi, Lalitpur",13 Feet,4,4,3.1 Anna,Rs. 2.5 Cr,2068 B.S
"Harisiddhi, Lalitpur",20 Feet,5,4,3.0 Anna,Rs. 2.8 Cr,2076 B.S
"Imadol, Lalitpur",14 Feet,5,3,3.2 Anna,Rs. 2.7 Cr,2076 B.S
"Bhaisepati, Lalitpur",16 Feet,5,5,4.2 Anna,Rs. 3.99 Cr,2076 B.S
"Bhaisepati, Lalitpur",16 Feet,4,4,5.0 Anna,Rs. 4.99 Cr,2076 B.S
"Lubhu, Lalitpur",10 Feet,5,3,4.2 Anna,Rs. 1.7 Cr,2076 B.S
"Bhaisepati, Lalitpur",20 Feet,4,4,3.3 Anna,Rs. 4.25 Cr,2076 B.S
"Sanagaun, Lalitpur",13 Feet,4,2,3.0 Anna,Rs. 1.7 Cr,2077 B.S
"Balkot, Bhaktapur",20 Feet,5,4,5.0 Anna,Rs. 5.25 Cr,2076 B.S
"Bageshwori, Bhaktapur",13 Feet,7,3,5.0 Anna,Rs. 2.5 Cr,2074 B.S
"Bhangal , Kathmandu",13 Feet,7,5,4.2 Anna,Rs. 3.2 Cr,2079 B.S
"Tikathali, Lalitpur",18 Feet,6,3,3.2 Anna,Rs. 2.5 Cr,2076 B.S
"Imadol, Lalitpur",13 Feet,4,3,3.2 Anna,Rs. 2.35 Cr,2076 B.S
"Muhanpokhari, Kathmandu",20 Feet,7,5,3.2 Anna,Rs. 2 Cr,2074 B.S
"Samakhusi, Kathmandu",13 Feet,3,4,3.0 Anna,Rs. 3.9 Cr,2076 B.S
"Budhanilkantha, Kathmandu",12 Feet,5,5,6.0 Anna,Rs. 3.3 Cr,2076 B.S
"Chandol, Kathmandu",20 Feet,6,6,9.3 Anna,Rs. 8.5 Cr,2070 B.S
"Hepali Height, Kathmandu",16 Feet,4,4,5.0 Anna,Rs. 6.03 Cr,2080 B.S
"Imadol, Lalitpur",16 Feet,4,2,3.1 Anna,Rs. 1.65 Cr,2076 B.S
"Imadol, Lalitpur",20 Feet,4,4,3.1 Anna,Rs. 2.25 Cr,2076 B.S
"Hepali Height, Kathmandu",13 Feet,6,5,6.2 Anna,Rs. 3.3 Cr,2076 B.S
"Mandikhatar, Kathmandu",16 Feet,8,6,9.1 Anna,Rs. 7.5 Cr,2076 B.S
"Imadol, Lalitpur",13 Feet,5,3,3.1 Anna,Rs. 2.75 Cr,2077 B.S
"Bojepokhari, Lalitpur",12 Feet,6,5,3.2 Anna,Rs. 2.85 Cr,2077 B.S
"Hattigaunda, Kathmandu",14 Feet,6,5,4.0 Anna,Rs. 3.15 Cr,2080 B.S
"Tikathali, Lalitpur",13 Feet,7,4,4.0 Anna,Rs. 2.75 Cr,2073 B.S
"Imadol, Lalitpur",13 Feet,6,4,3.0 Anna,Rs. 2.35 Cr,2074 B.S
"Thaiba, Lalitpur",20 Feet,6,4,5.2 Anna,Rs. 2.9 Cr,2074 B.S
"Tikathali, Lalitpur",13 Feet,6,5,3.0 Anna,Rs. 2.55 Cr,2074 B.S
"Imadol, Lalitpur",20 Feet,3,4,4.0 Anna,Rs. 3.25 Cr,2076 B.S
"Imadol, Lalitpur",13 Feet,5,4,3.3 Anna,Rs. 2.7 Cr,2076 B.S
"Imadol, Lalitpur",13 Feet,4,4,3.1 Anna,Rs. 2.45 Cr,2073 B.S
"Imadol, Lalitpur",13 Feet,5,5,4.2 Anna,Rs. 2.95 Cr,2073 B.S
"Lasuntar, Kathmandu",12 Feet,5,3,4.0 Anna,Rs. 2.5 Cr,2080 B.S
"Dhapakhel, Lalitpur",10 Feet,5,7,4.0 Anna,"Rs. 3,88,000,00",2072 B.S
"Khumaltar, Lalitpur",13 Feet,6,3,6.0 Anna,Rs. 4.5 Cr,2074 B.S
"Imadol, Lalitpur",13 Feet,4,4,2.3 Anna,Rs. 2.4 Cr,2073 B.S
"Imadol, Lalitpur",13 Feet,4,4,2.2 Anna,Rs. 2.3 Cr,2073 B.S
"Imadol, Lalitpur",13 Feet,4,5,4.0 Anna,Rs. 2.65 Cr,2074 B.S
"Tikathali, Lalitpur",13 Feet,5,4,4.1 Anna,Rs. 3.2 Cr,2076 B.S
"Imadol, Lalitpur",13 Feet,5,5,3.0 Anna,Rs. 2.9 Cr,2076 B.S
"Imadol, Lalitpur",20 Feet,6,4,3.0 Anna,Rs. 2.75 Cr,2074 B.S
"Tikathali, Lalitpur",13 Feet,6,6,3.2 Anna,Rs. 2.55 Cr,2073 B.S
"Imadol, Lalitpur",13 Feet,5,5,3.1 Anna,Rs. 2.75 Cr,2073 B.S
"Imadol, Lalitpur",26 Feet,5,4,3.2 Anna,Rs. 3.4 Cr,2076 B.S
"Nakkhu, Lalitpur",20 Feet,4,4,3.2 Anna,Rs. 2.75 Cr,2076 B.S
"Imadol, Lalitpur",20 Feet,5,3,4.1 Anna,Rs. 4.25 Cr,2073 B.S
"Sgaun, Lalitpur",13 Feet,4,3,5.2 Anna,Rs. 1.6 Cr,2070 B.S
"Samakhushi chowk, Kathmandu",13 Feet,6,4,3.2 Anna,Rs. 3.55 Cr,2079 B.S
"Imadol, Lalitpur",13 Feet,6,4,3.0 Anna,Rs. 2.75 Cr,2072 B.S
"Lubhu, Lalitpur",20 Feet,6,5,7.1 Anna,Rs. 5.9 Cr,2074 B.S
"Bhaisepati, Lalitpur",20 Feet,4,3,4.0 Anna,Rs. 2.85 Cr,2076 B.S
"Taukhel, Lalitpur",12 Feet,5,3,4.0 Anna,Rs. 2.75 Cr,2076 B.S
"Hattiban, Lalitpur",13 Feet,6,4,3.1 Anna,Rs. 2.8 Cr,2070 B.S
"Hattiban, Lalitpur",14 Feet,6,4,4.0 Anna,Rs. 3.25 Cr,2063 B.S
"Sundar basti, Kathmandu",13 Feet,6,5,4.2 Anna,Rs. 3.9 Cr,2071 B.S
"Nakkhu, Lalitpur",20 Feet,3,1,14.4.0 Anna,Rs. 70 Lac/Anna,2065 B.S
"Narayanthan , Kathmandu",20 Feet,4,6,4.0 Anna,Rs. 4.25 Cr,2066 B.S
"Katunje, Bhaktapur",13 Feet,5,4,4.1 Anna,Rs. 3.4 Cr,2072 B.S
"Bauthali, Kathmandu",20 Feet,10,8,13.2 Anna,Rs. 21 Lac/Anna,2058 B.S
"Dhapasi, Kathmandu",20 Feet,4,5,7.0 Anna,Rs. 4.75 Cr,2068 B.S
"Sundar basti, Kathmandu",13 Feet,4,4,3.3 Anna,Rs. 3.45 Cr,2072 B.S
"Nayapati, Kathmandu",20 Feet,11,4,6.1 Anna,Rs. 2.9 Cr,2076 B.S
"Imadol, Lalitpur",13 Feet,5,4,2.9 Anna,Rs. 2.65 Cr,2076 B.S
"Satdobato, Lalitpur",15 Feet,4,4,6.0 Anna,Rs. 1.5 Cr,2064 B.S
"Nakhipot, Lalitpur",16 Feet,7,5,4.2 Anna,Rs. 4.25 Cr,2059 B.S
"Khumaltar, Lalitpur",12 Feet,6,5,4.2 Anna,Rs. 4.2 Cr,2070 B.S
"Basundhara, Kathmandu",20 Feet,7,6,3.2 Anna,Rs. 2.75 Cr,2076 B.S
"Jyotinagar, Kathmandu",16 Feet,5,4,4.2 Anna,Rs. 2.95 Cr,2074 B.S
"Kuleshwor, Kathmandu",27 Feet,7,4,2.2 Anna,Rs. 4.5 Cr,2065 B.S
"Bansbari, Kathmandu",14 Feet,4,4,7.0 Anna,Rs. 2.10 Cr,2072 B.S
"Khumaltar, Lalitpur",16 Feet,6,4,4.3 Anna,Rs. 3.9 Cr,2070 B.S
"Bhaisepati, Lalitpur",20 Feet,4,4,4.0 Anna,Rs. 27500000,2070 B.S
"Dhapasi, Kathmandu",13 Feet,4,5,7.2 Anna,Rs. 4.6 Cr,2071 B.S
"Bhangal , Kathmandu",13 Feet,6,5,3.2 Anna,Rs. 2.4 Cr,2070 B.S
"Mahadevtar, Kathmandu",13 Feet,8,5,10.2 Anna,Rs. 6 Cr,2072 B.S
"Budhanilkantha, Kathmandu",13 Feet,6,5,4.2 Anna,Rs. 3.85 Cr,2072 B.S
"Budhanilkantha, Kathmandu",13 Feet,5,4,4.0 Anna,Rs. 2.8 Cr,2076 B.S
"Bhaisepati, Lalitpur",14 Feet,5,4,4.2 Anna,Rs. 3 Cr,2076 B.S
"Satdobato, Lalitpur",20 Feet,5,3,3.0 Anna,Rs. 2.6 Cr,2064 B.S
"Budhanilkantha, Kathmandu",12 Feet,5,5,3.0 Anna,Rs. 2.55 Cr,2070 B.S
"Bsthali, Kathmandu",20 Feet,5,3,8.0 Anna,Rs. 5 Cr,2074 B.S
"Hattigaunda, Kathmandu",13 Feet,4,4,5.2 Anna,Rs. 3.3 Cr,2070 B.S
"Phutung, Kathmandu",13 Feet,4,4,2.2 Anna,Rs. 1.6 Cr,2070 B.S
"Gurjudhara, Kathmandu",13 Feet,5,4,4.0 Anna,Rs. 3.25 Cr,2065 B.S
"Budhanilkantha, Kathmandu",20 Feet,5,6,5.2 Anna,Rs. 3.9 Cr,2059 B.S
"Balkumari, Lalitpur",13 Feet,6,3,9.0 Anna,Rs. 5.5 Cr,2069 B.S
"Bhaisepati, Lalitpur",16 Feet,5,4,4.2 Anna,Rs. 4.25 Cr,2079 B.S
"Imadol, Lalitpur",13 Feet,4,3,4.0 Anna,Rs. 3.1 Cr,2079 B.S
"Sitapaila, Kathmandu",13 Feet,5,3,5.0 Anna,Rs. 3.5 Cr,2076 B.S
"Bhaisepati, Lalitpur",16 Feet,5,4,15.0 Anna,Rs. 1.5 Lac,2073 B.S
"Balkhu, Kathmandu",20 Feet,4,4,3.2 Anna,Rs. 3.7 Cr,2055 B.S
"Tikathali, Lalitpur",13 Feet,6,4,3.0 Anna,Rs. 2.85 Cr,2070 B.S
"Imadol, Lalitpur",13 Feet,7,4,4.0 Anna,Rs. 3.65 Cr,2072 B.S
"Grande Hospital, Kathmandu",13 Feet,6,4,3.2 Anna,Rs. 3.3 Cr,2079 B.S
"Hattigaunda, Kathmandu",20 Feet,5,7,6.0 Anna,Rs. 6.25 Cr,2055 B.S
"Hattigaunda, Kathmandu",13 Feet,7,6,8.0 Anna,Rs. 7.5 Cr,2072 B.S
"Imadol, Lalitpur",30 Feet,3,3,3.1 Anna,Rs. 3.5 Cr,2069 B.S
"Imadol, Lalitpur",13 Feet,4,4,3.2 Anna,Rs. 3.1 Cr,2069 B.S
"Gwarko, Lalitpur",13 Feet,6,3,3.0 Anna,Rs. 2.35 Cr,2079 B.S
"Gwarko, Lalitpur",13 Feet,4,4,3.0 Anna,Rs. 2.95 Cr,2079 B.S
"Budhanilkantha, Kathmandu",13 Feet,6,4,5.0 Anna,Rs. 4.65 Cr,2076 B.S
"Budhanilkantha, Kathmandu",13 Feet,6,6,4.0 Anna,Rs. 3.15 Cr,2073 B.S
"Uttar Dhoka, Kathmandu",20 Feet,5,2,4.0 Anna,Rs. 1.5 Cr,2076 B.S
"Budhanilkantha, Kathmandu",13 Feet,2,2,9.0 Anna,Rs. 2.25 Cr,2072 B.S
"Imadol, Lalitpur",13 Feet,4,4,2.3 Anna,Rs. 1.9 Cr,2079 B.S
"Satdobato, Lalitpur",13 Feet,4,4,3.3 Anna,Rs. 3.1 Cr,2055 B.S
"Bhaisepati, Lalitpur",20 Feet,4,4,4.2 Anna,Rs. 4.35 Cr,2072 B.S
"Imadol, Lalitpur",13 Feet,5,4,4.0 Anna,Rs. 3.1 Cr,2072 B.S
"Sitapaila, Kathmandu",20 Feet,6,3,6.0 Anna,Rs. 5.5 Cr,2073 B.S
"Gongabu, Kathmandu",12 Feet,10,6,7.1 Anna,Rs. 6 Cr,2076 B.S
"Imadol, Lalitpur",13 Feet,5,4,3.0 Anna,Rs. 2.8 Cr,2069 B.S
"Imadole, Lalitpur",13 Feet,6,5,3.1 Anna,Rs. 2.75 Cr,2078 B.S
"Gwarko, Lalitpur",13 Feet,5,4,3.2 Anna,Rs. 2.95 Cr,2073 B.S
"Lubhu, Lalitpur",23 Feet,5,6,2.3 Anna,Rs. 1.95 Cr,2076 B.S
"Lalitpur, Lalitpur",13 Feet,5,4,3.2 Anna,Rs. 2.7 Cr,2061 B.S
"Imadol, Lalitpur",16 Feet,6,4,4.0 Anna,Rs. 2.8 Cr,2069 B.S
"Imadol, Lalitpur",14 Feet,3,3,3.0 Anna,Rs. 2.9 Cr,2071 B.S
"Imadol, Lalitpur",13 Feet,5,5,3.2 Anna,Rs. 2.9 Cr,2079 B.S
"Imadol, Lalitpur",13 Feet,4,4,3.2 Anna,Rs. 2.9 Cr,2076 B.S
"Bhaisepati, Lalitpur",13 Feet,4,4,5.0 Anna,Rs. 4.5 Cr,2076 B.S
"Dhapasi, Kathmandu",13 Feet,4,2,2.3 Anna,Rs. 2.25 Cr,2069 B.S
"Golfutar, Kathmandu",14 Feet,5,5,3.0 Anna,Rs. 2.60 Cr,2070 B.S
"Dadhikot, Bhaktapur",13 Feet,8,5,4.3 Anna,Rs. 3.3 Cr,2079 B.S
"Harisiddhi, Lalitpur",20 Feet,3,4,3.0 Anna,Rs. 2.7 Cr,2070 B.S
"Imadol, Lalitpur",13 Feet,5,5,4.1 Anna,Rs. 2.75 Cr,2072 B.S
"Mulpani, Kathmandu",12 Feet,5,3,2.2 Anna,Rs. 1.6 Cr,2058 B.S
"Bafal, Kathmandu",14 Feet,6,3,7.0 Anna,Rs. 4.7 Cr,2072 B.S
"Imadol, Lalitpur",13 Feet,4,4,3.1 Anna,Rs. 2.5 Cr,2069 B.S
"Imadol, Lalitpur",13 Feet,4,3,3.2 Anna,Rs. 2.5 Cr,2069 B.S
"Sanepa, Lalitpur",13 Feet,6,4,7.2 Anna,Rs. 9 Cr,2079 B.S
"Sitapaila, Kathmandu",12 Feet,9,3,4.0 Anna,Rs. 2.3 Cr,2076 B.S
"Lainchaur, Kathmandu",8 Feet,8,4,8.0 Anna,Rs. 3.5 Cr,2073 B.S
"Greenhill City, Kathmandu",11 Feet,8,4,4.0 Anna,Rs. 2.7 Cr,2076 B.S
"Sunakothi, Lalitpur",20 Feet,5,7,9.0 Anna,Rs. 8.5 Cr,2072 B.S
"Hattiban, Lalitpur",20 Feet,5,4,5.0 Anna,Rs. 7 Cr,2072 B.S
"Hattiban, Lalitpur",22 Feet,3,4,3.3 Anna,Rs. 3.5 Cr,2072 B.S
"Kamalpokhari, Kathmandu",20 Meter,12,6,7.3 Anna,Rs. 18 Cr,2079 B.S
"Dhapakhel, Lalitpur",16 Feet,6,3,3.0 Anna,Rs. 2.5 Cr,2072 B.S
"Shantinagar, Kathmandu",13 Feet,9,4,3.0 Anna,Rs. 4.5 Cr,2072 B.S
"Dakshindhoka, Kathmandu",20 Feet,3,4,3.0 Anna,Rs. 2.6 Cr,2076 B.S
"Budhanilkantha, Kathmandu",13 Feet,6,5,4.0 Anna,Rs. 3.45 Cr,2073 B.S
"Budhanilkantha, Kathmandu",14 Feet,6,5,5.0 Anna,Rs. 3.75 Cr,2076 B.S
"Dadhikot, Bhaktapur",10 Feet,4,3,5.0 Anna,Rs. 3 Cr,2075 B.S
"Mandikhatar, Kathmandu",13 Feet,6,3,8.0 Anna,Rs. 6.5 Cr,2058 B.S
"Budhanilkantha, Kathmandu",14 Feet,8,4,4.2 Anna,Rs. 3 Cr,2058 B.S
"Lolang, Kathmandu",12 Feet,11,3,3.0 Anna,Rs. 1.75 Cr,2070 B.S
"Satungal, Kathmandu",13 Feet,4,4,4.2 Anna,Rs. 2.95 Cr,2072 B.S
"Dhapakhel, Lalitpur",13 Feet,6,4,6.0 Anna,Rs. 4.3 Cr,2058 B.S
"Imadol, Lalitpur",13 Feet,6,5,3.1 Anna,Rs. 3.1 Cr,2076 B.S
"Imadol, Lalitpur",13 Feet,7,7,6.3 Anna,Rs. 4.5 Cr,2073 B.S
"Imadol, Lalitpur",13 Feet,5,4,3.0 Anna,Rs. 2.65 Cr,2076 B.S
"Imadol, Lalitpur",13 Feet,5,4,3.2 Anna,Rs. 2.95 Cr,2072 B.S
"Greenland Chowk, Kathmandu",20 Feet,5,4,5.0 Anna,Rs. 3.75 Cr,2072 B.S
"Bhaisepati, Lalitpur",13 Feet,5,4,10.0 Anna,Rs. 15 Cr,2072 B.S
"Budhanilkantha, Kathmandu",20 Feet,5,6,11.0 Anna,Rs. 10.5 Cr,2075 B.S
"Tikathali, Lalitpur",13 Feet,4,4,3.0 Anna,Rs. 2.55 Cr,2058 B.S
"Sgaun, Lalitpur",20 Feet,5,3,2.3 Anna,Rs. 2.25 Cr,2068 B.S
"Balkumari, Lalitpur",20 Feet,6,5,12.0 Anna,Rs. 10.5 Cr,2058 B.S
"Tikathali, Lalitpur",13 Feet,9,4,3.0 Anna,Rs. 2.85 Cr,2072 B.S
"Maharajgunj, Kathmandu",20 Feet,4,4,10.0 Anna,Rs. 12.5 Cr,2058 B.S
"Deuba Chowk, Kathmandu",13 Feet,8,5,6.0 Anna,Rs. 6 Cr,2068 B.S
"Kageshwori, Kathmandu",13 Feet,3,3,2.2 Anna,Rs. 1.65 Cr,2070 B.S
"Budhanilkantha, Kathmandu",13 Feet,10,5,4.0 Anna,Rs. 3.35 Cr,2058 B.S
